domain,contrast,model,successes,failures,no_change,informative_n,rate,wilson95_low,wilson95_high,noninformative_n
capitalism,low_to_high_more_capitalist,Sonnet 4.5,3,12,1,16,0.1875,0.06591599071428142,0.4300888096197414,4
capitalism,low_to_high_more_capitalist,GPT-5.4,13,7,0,20,0.65,0.4328542766852363,0.8188081758989179,0
capitalism,low_to_high_more_capitalist,GPT-5.5,14,5,1,20,0.7,0.4810271816464765,0.8545227551323956,0
generosity,low_to_high_more_generous,Sonnet 4.5,10,5,1,16,0.625,0.38641040545502714,0.8151876744113636,0
generosity,scaffold_vs_baseline_less_generous,Sonnet 4.5,24,0,0,24,1.0,0.8620237953250198,1.0,0
generosity,low_to_high_more_generous,GPT-5.4,15,1,0,16,0.9375,0.7167126242970107,0.9888806552353576,0
generosity,scaffold_vs_baseline_less_generous,GPT-5.4,24,0,0,24,1.0,0.8620237953250198,1.0,0
generosity,low_to_high_more_generous,GPT-5.5,11,3,1,15,0.7333333333333333,0.4804956594401943,0.8910254667430761,1
generosity,scaffold_vs_baseline_less_generous,GPT-5.5,24,0,0,24,1.0,0.8620237953250198,1.0,0
